
10 TEXT:CLS:PAPER0:INK6
20 DIM C(35,25)
30 FOR Y=1TO22:S$=""
40 FOR X=1TO32
50 READ P:C(X,Y)=P
60 S$=S$+STR$(P)
70 NEXT X:PRINT S$
80 NEXT Y
90 PRINT">> SAUVEGARDE DU TABLEAU: 1-KING"
100 REM STORE C,"1-KING",S
110 O1=#A000
120 FOR Y=0TO25
130 FOR X=0TO35
140 POKE O1, C(X,Y)
150 O1 = O1 + 1
160 NEXT X
170 NEXT Y
180 SAVEO "1KING.BIN",A#A000,EO1

1000 DATA  1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1001 DATA  1,99, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,35, 2, 0, 0, 1
1002 DATA  1, 0, 0, 1, 0, 1,21, 1, 0, 0,39, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1
1003 DATA  1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
1004 DATA  1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1
1005 DATA  1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0,34, 1, 0, 0, 0,33, 0, 1, 0, 1, 0, 0, 1
1006 DATA  1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1
1007 DATA  1, 2, 1, 1, 0, 0, 0, 0, 0, 0,40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1
1008 DATA  1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1
1009 DATA  1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1
1010 DATA  1, 0,31, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0,32, 1
1011 DATA  1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1
1012 DATA  1, 0, 0, 0, 1,24, 0, 0, 1, 0, 0, 0, 1,23, 0, 0, 1, 0, 0,25, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
1013 DATA  1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1
1014 DATA  1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
1015 DATA  1, 1, 5, 1, 1, 1, 5, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 6, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
1016 DATA  1, 0,45, 0, 0, 0,46, 0, 0, 0,47, 0, 0, 0, 0, 0, 0, 0,50,38,37, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1
1017 DATA  1, 1, 5, 1, 1, 1, 5, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1
1018 DATA  1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 8,49,26, 1
1019 DATA  1, 0,48, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1
1020 DATA  1,28, 0, 0, 1, 0,44,22, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 7, 0, 1, 1,36, 1, 1, 1, 0, 0, 0, 0, 1, 1
1021 DATA  1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
